id,category,question,answer
payments_07,Payments,"Do you offer payment plans?","Yes. For orders over $200 you can split the total into four interest-free payments using our installment option at checkout."
payments_08,Payments,"Can I use my debit card to pay?","We accept Visa, Mastercard, American Express, PayPal, Apple Pay and Google Pay. Gift cards can also be used at checkout."
payments_09,Payments,"What payment options do you offer?","We accept Visa, Mastercard, American Express, PayPal, Apple Pay and Google Pay. Gift cards can also be used at checkout."
payments_10,Payments,"Can you save my card for next time?","Open Settings > Payments > Add payment method and enter your card details. We store the card securely and use it only with your consent."
payments_11,Payments,"My payment method was rejected","A card is usually declined because of insufficient funds, an expired card or a bank security block. Check the card details and try again, or contact your bank to lift the block."
payments_12,Payments,"When do you charge my card?","We place a temporary authorization when you place the order and charge your card when the order is confirmed and picked up for packing."
payments_13,Payments,"How do I change my billing address?","Go to Settings > Payments > Billing address to update the address used for receipts and payment verification."
payments_14,Payments,"Can I split my payment into parts?","Yes. For orders over $200 you can split the total into four interest-free payments using our installment option at checkout."
orders_01,Orders,"How do I track my order?","Sign in and open your Orders page to check the live status of your order. Once it ships the page includes a carrier tracking link."
orders_02,Orders,"Where is my order?","Sign in and open your Orders page to check the live status of your order. Once it ships the page includes a carrier tracking link."
orders_03,Orders,"Can I modify or change my order after placing it?","Orders can be changed within 30 minutes of being placed. Open the order and choose 'Edit order' to change the address or items."
orders_04,Orders,"How do I cancel my order?","You can cancel from the Orders page as long as the order has not shipped. Cancelled orders are refunded within 3 to 5 business days."
orders_05,Orders,"I ordered the wrong item by mistake.","If the order has not shipped you can cancel it from the Orders page and place a new one. Once shipped you can return the item after delivery."
orders_06,Orders,"When will my order arrive?","Delivery time depends on the method chosen at checkout. Standard orders arrive in 4 to 7 business days and express orders in 1 to 2 business days."
orders_07,Orders,"How do I reorder an item I bought before?","Open your past order in the Orders page and choose 'Reorder'. It will reopen the checkout with the same items and saved details."
orders_08,Orders,"How can I undo a mistake in my order?","If the order has not shipped you can cancel it from the Orders page and place a new one. Once shipped you can return the item after delivery."
orders_09,Orders,"How do I buy the same product again?","Open your past order in the Orders page and choose 'Reorder'. It will reopen the checkout with the same items and saved details."
orders_10,Orders,"How do I edit the items in my order?","Orders can be changed within 30 minutes of being placed. Open the order and choose 'Edit order' to change the address or items."
orders_11,Orders,"How long until my order arrives?","Delivery time depends on the method chosen at checkout. Standard orders arrive in 4 to 7 business days and express orders in 1 to 2 business days."
shipping_01,Shipping,"How much does shipping cost?","Standard shipping is free on orders over $50 and costs $5.95 otherwise. Express shipping starts at $12.95."
shipping_02,Shipping,"How long does standard shipping take?","Standard shipping takes 4 to 7 business days within the continental United States."
shipping_03,Shipping,"Do you ship internationally?","Yes, we ship to 40+ countries. International delivery usually takes 7 to 14 business days and duties may apply at customs."
shipping_04,Shipping,"How do I get free or expedited shipping?","Free standard shipping is available on orders over $50. Expedited shipping can be selected at checkout for a flat fee."
shipping_05,Shipping,"Where do you ship to?","We currently ship to the United States, Canada, the UK, Australia and most EU countries. Enter your address at checkout to confirm availability."
shipping_06,Shipping,"Can I change the delivery address for my shipment?","The delivery address can be updated within 30 minutes of placing the order from the order details page."
shipping_07,Shipping,"What do I do if my package never arrives?","If the tracking has not updated for more than 5 business days contact support and we will investigate with the carrier or issue a replacement."
shipping_08,Shipping,"What are your shipping fees?","Standard shipping is free on orders over $50 and costs $5.95 otherwise. Express shipping starts at $12.95."
shipping_09,Shipping,"Do you deliver to my country?","We currently ship to the United States, Canada, the UK, Australia and most EU countries. Enter your address at checkout to confirm availability."
shipping_10,Shipping,"Can I get my order delivered faster?","Free standard shipping is available on orders over $50. Expedited shipping can be selected at checkout for a flat fee."
shipping_11,Shipping,"How much do you charge for delivery?","Standard shipping is free on orders over $50 and costs $5.95 otherwise. Express shipping starts at $12.95."
shipping_12,Shipping,"Can I get free shipping?","Free standard shipping is available on orders over $50. Expedited shipping can be selected at checkout for a flat fee."
shipping_13,Shipping,"Do you ship abroad?","Yes, we ship to 40+ countries. International delivery usually takes 7 to 14 business days and duties may apply at customs."
returns_01,Returns,"What is your return policy?","You can return most unused items within 30 days of delivery for a full refund. Return shipping is free on all eligible items."
returns_02,Returns,"How do I return an item?","Open the order on your Orders page and choose 'Start a return'. Print the prepaid label and drop the package at any carrier pickup point."
returns_03,Returns,"How long do I have to return an item?","You have 30 days from the date of delivery to start a return. Items must be unused and in their original packaging."
returns_04,Returns,"I want to get a refund for my order.","Start a return from the Orders page and request a refund. The refund is issued to your original payment method within 5 to 7 business days after we receive the package."
returns_05,Returns,"How do I exchange an item for a different size?","Start a return for the item and place a new order for the size you need. This is faster and guarantees availability."
returns_06,Returns,"Can I return a sale or discounted item?","Yes, sale items are returnable under the same 30 day policy unless the listing clearly states a no-returns exception."
returns_07,Returns,"When will I receive my refund?","Refunds are processed within 5 to 7 business days after the returned item arrives at our warehouse. The money goes back to your original payment method."
returns_08,Returns,"I need my money back for an item.","Start a return from the Orders page and request a refund. The refund is issued to your original payment method within 5 to 7 business days after we receive the package."
returns_09,Returns,"Can I send back items bought in a sale?","Yes, sale items are returnable under the same 30 day policy unless the listing clearly states a no-returns exception."
returns_10,Returns,"How long do I have before I can send it back?","You have 30 days from the date of delivery to start a return. Items must be unused and in their original packaging."
returns_11,Returns,"When will the refund appear on my card?","Refunds are processed within 5 to 7 business days after the returned item arrives at our warehouse. The money goes back to your original payment method."
security_01,Security,"Is my personal information safe?","Yes. We encrypt data in transit and at rest and we never share your personal information with third parties for marketing."
security_02,Security,"How do I enable two-factor authentication?","Open Settings > Security and turn on Two-factor authentication. You can choose an authenticator app or SMS codes."
security_03,Security,"What should I do if I'm locked out of my account?","Use the 'Forgot password' link on the sign-in page to reset your credentials. For security reasons a reset logs out your account on all devices."
security_04,Security,"I think my account was hacked.","Immediately reset your password and enable two-factor authentication. Then report the incident from Settings > Security > Report issue."
security_05,Security,"How do I log out of my account on all devices?","Open Settings > Security and choose 'Sign out of all devices'. This revokes every active session including mobile apps."
security_06,Security,"Why am I being asked to verify my identity?","We occasionally ask for extra verification after a password change or when signing in from a new device to protect your account."
security_07,Security,"How do I report a suspicious email or phishing attempt?","Forward any suspicious email to security@example.com and delete it. We never ask for your password by email."
security_08,Security,"Is my personal data protected?","Yes. We encrypt data in transit and at rest and we never share your personal information with third parties for marketing."
security_09,Security,"Why do I keep getting verification codes?","We occasionally ask for extra verification after a password change or when signing in from a new device to protect your account."
security_10,Security,"I can't get into my account at all","Use the 'Forgot password' link on the sign-in page to reset your credentials. For security reasons a reset logs out your account on all devices."
tech_01,Technical Support,"The website is not loading. What should I do?","Try refreshing the page, clearing your browser cache or using a different browser. If the issue persists check our status page or contact support."
tech_02,Technical Support,"The mobile app keeps crashing.","Update the app to the latest version and restart your device. If it still crashes send us the crash log from Settings > Support."
tech_03,Technical Support,"How do I clear my browser cache?","Open your browser settings and find 'Clear browsing data'. Select cached images and files and confirm. This usually resolves outdated page issues."
tech_04,Technical Support,"Why is the checkout page showing an error?","Checkout errors are usually caused by expired payment details or an outdated browser. Try a hard refresh and confirm your billing address matches your card."
tech_05,Technical Support,"I didn't receive the confirmation email.","Check your spam folder first and confirm your email address in account settings. You can also resend the confirmation from the sign-up page."
tech_06,Technical Support,"How do I update the mobile app?","Open your phone's app store and install the latest version listed for our app. Enable automatic updates to avoid missing new releases."
tech_07,Technical Support,"The search feature is not returning results.","Search matches product names and categories. Try fewer keywords or use our category menu to browse manually."
tech_08,Technical Support,"The app closes by itself while I use it.","Update the app to the latest version and restart your device. If it still crashes send us the crash log from Settings > Support."
tech_09,Technical Support,"Why did no confirmation email arrive?","Check your spam folder first and confirm your email address in account settings. You can also resend the confirmation from the sign-up page."
tech_10,Technical Support,"The site won't load on my phone","Try refreshing the page, clearing your browser cache or using a different browser. If the issue persists check our status page or contact support."
general_01,General,"How do I contact customer support?","You can reach support by live chat on our website, email at support@example.com or phone at 1-800-555-0199. We reply within 24 hours."
general_02,General,"What are your customer service hours?","Our support team is available Monday to Friday from 8am to 8pm Eastern. Weekend replies may take a little longer."
general_03,General,"Where can I find your privacy policy?","The privacy policy is linked in the footer of every page under 'Privacy policy'. It explains what data we collect and how it is used."
general_04,General,"Do you offer discounts for students?","Yes, we offer a 15 percent student discount through our partner verification service. Verify your student email to unlock it."
general_05,General,"How do I sign up for your newsletter?","Enter your email in the newsletter box at the bottom of the homepage and confirm the opt-in message we send you."
general_06,General,"What is your warranty policy?","Most products carry a one year limited warranty covering manufacturer defects. The warranty length is listed on each product page."
general_07,General,"Can you help me find a product?","Tell us what you are looking for and we can point you in the right direction. You can also browse by category or use the search bar."
general_08,General,"What are your opening hours?","Our support team is available Monday to Friday from 8am to 8pm Eastern. Weekend replies may take a little longer."
general_09,General,"Does the warranty cover everything?","Most products carry a one year limited warranty covering manufacturer defects. The warranty length is listed on each product page."
general_10,General,"What times can I call support?","Our support team is available Monday to Friday from 8am to 8pm Eastern. Weekend replies may take a little longer."
account_11,Account,"I want to use a different password","Sign in to your account, open Settings > Security, and choose 'Change password'. You will need your current password to confirm the change."
orders_12,Orders,"How do I follow my delivery?","Sign in and open your Orders page to check the live status of your order. Once it ships the page includes a carrier tracking link."
returns_12,Returns,"How do I send back a product?","Open the order on your Orders page and choose 'Start a return'. Print the prepaid label and drop the package at any carrier pickup point."
security_11,Security,"Someone accessed my account without permission","Immediately reset your password and enable two-factor authentication. Then report the incident from Settings > Security > Report issue."
security_12,Security,"How do I end all active sessions?","Open Settings > Security and choose 'Sign out of all devices'. This revokes every active session including mobile apps."
